date:2022-08-02 17:18:42	thread:main	level:INFO 	logger:com.ctf.account.CtfAccountApplication           	msg:The following profiles are active: native
date:2022-08-02 17:18:55	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2c75b0c8, org.springframework.security.web.context.SecurityContextPersistenceFilter@3f3b0b19, org.springframework.security.web.header.HeaderWriterFilter@32dab011, org.springframework.security.web.authentication.logout.LogoutFilter@3405025a, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@798ac54d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ddd0e97, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1215982f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@23c95292, org.springframework.security.web.session.SessionManagementFilter@79b3f1c6, org.springframework.security.web.access.ExceptionTranslationFilter@32fa7ff0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2899745e]
date:2022-08-02 17:18:57	thread:main	level:INFO 	logger:com.ctf.account.CtfAccountApplication           	msg:Started CtfAccountApplication in 17.115 seconds (JVM running for 22.757)
date:2022-08-02 17:18:58	thread:RMI TCP Connection(12)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-08-02 17:18:58	thread:RMI TCP Connection(12)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-02 17:18:58	thread:RMI TCP Connection(12)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-02 17:18:58	thread:RMI TCP Connection(12)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 100 ms
date:2022-08-02 17:19:29	thread:http-nio-10008-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/account/captcha/generateImageCaptcha", parameters={}
date:2022-08-02 17:19:32	thread:http-nio-10008-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/compareCaptcha?charCaptcha=pv3n", parameters={masked}
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.compareCaptcha]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:19:38	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@1b812e20] for JDBC transaction
