date:2022-08-04 11:01:42	thread:main	level:INFO 	logger:com.ctf.account.CtfAccountApplication           	msg:The following profiles are active: native
date:2022-08-04 11:01:50	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3adbfd16, org.springframework.security.web.context.SecurityContextPersistenceFilter@401e36ab, org.springframework.security.web.header.HeaderWriterFilter@65c040c9, org.springframework.security.web.authentication.logout.LogoutFilter@5091456c, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@1927c2c6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@405a296e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@63b95a30, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@30587737, org.springframework.security.web.session.SessionManagementFilter@13d7d1a8, org.springframework.security.web.access.ExceptionTranslationFilter@9c88323, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68fe866b]
date:2022-08-04 11:01:52	thread:main	level:INFO 	logger:com.ctf.account.CtfAccountApplication           	msg:Started CtfAccountApplication in 11.001 seconds (JVM running for 11.971)
date:2022-08-04 11:01:52	thread:RMI TCP Connection(1)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-08-04 11:01:52	thread:RMI TCP Connection(1)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-04 11:01:52	thread:RMI TCP Connection(1)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-04 11:01:52	thread:RMI TCP Connection(1)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 129 ms
date:2022-08-04 11:04:43	thread:http-nio-10008-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/account/captcha/generateImageCaptcha", parameters={}
date:2022-08-04 11:04:44	thread:http-nio-10008-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/compareCaptcha?charCaptcha=Y08J", parameters={masked}
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.compareCaptcha]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 182962
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183018
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183052
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183095
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183132
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183167
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183204
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183236
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183303
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 183363
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction rollback
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Rolling back JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456]
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] after transaction
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:WARN 	logger:com.ctf.component.commons.result.ResultBuilder  	msg:java.lang.IllegalArgumentException: 图片验证码错误或已过期，请重新输入
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/account/captcha/generateImageCaptcha?0.3308564515804526", parameters={masked}
date:2022-08-04 11:04:56	thread:http-nio-10008-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/compareCaptcha?charCaptcha=Y08J", parameters={masked}
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.compareCaptcha]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction rollback
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Rolling back JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456]
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] after transaction
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:WARN 	logger:com.ctf.component.commons.result.ResultBuilder  	msg:java.lang.IllegalArgumentException: 图片验证码错误或已过期，请重新输入
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-5	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/account/captcha/generateImageCaptcha?0.06734884830397969", parameters={masked}
date:2022-08-04 11:05:00	thread:http-nio-10008-exec-5	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/compareCaptcha?charCaptcha=JGMa", parameters={masked}
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.compareCaptcha]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456]
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] after transaction
date:2022-08-04 11:05:07	thread:http-nio-10008-exec-6	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/account/sysuserdetail/queryCurrentAuthority?username=admin", parameters={masked}
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.getRoleCodeBySysUser]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:==>  Preparing: SELECT msr.role_code AS "roleCode" FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND (msu.username = ? OR msu.mobile = ?)
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:==> Parameters: admin(String), null
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.getRoleCodeBySysUser	msg:<==      Total: 2
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456]
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] after transaction
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.querySysMenuAuthorityTree]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:==>  Preparing: SELECT CAST(id AS CHAR) AS "id",menu_path AS "path",menu_component AS "component",menu_code AS "name",menu_icon AS "icon",(CASE WHEN menu_status = 0 THEN 1 ELSE 0 END) AS "hideInMenu",CAST(parent_id AS CHAR) AS "parentId" FROM mscode_sys_menu WHERE id IN (SELECT menu_id FROM mscode_sys_role_menu mrm WHERE EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.id = mrm.role_id AND (msu.username = ? OR msu.mobile = ?))) ORDER BY menu_sequence ASC
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:==> Parameters: admin(String), null
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.S.querySysMenuAuthorityTree             	msg:<==      Total: 90
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456]
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] after transaction
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.account.service.impl.SysUserDetailServiceImpl.queryRoleMenuButton]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] for JDBC transaction
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@3f8f456] to manual commit
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.queryRoleMenuButton 	msg:==>  Preparing: SELECT mrm.menu_button AS "menuButton" FROM mscode_sys_role_menubutton mrm WHERE EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.role_code = mrm.role_code AND (msu.username = ? OR msu.mobile = ?))
date:2022-08-04 11:05:08	thread:http-nio-10008-exec-7	level:DEBUG	logger:c.c.a.m.SysUserDetailMapper.queryRoleMenuButton 	msg:==> Parameters: admin(String), null
