date:2022-08-02 17:18:06	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:The following profiles are active: native
date:2022-08-02 17:18:19	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@74a37c91, org.springframework.security.web.context.SecurityContextPersistenceFilter@6f2d0d25, org.springframework.security.web.header.HeaderWriterFilter@32df1a2a, org.springframework.security.web.authentication.logout.LogoutFilter@5e05064b, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@2a2f7a61, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@71a2a9a0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@759c8393, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@58581ab6, org.springframework.security.web.session.SessionManagementFilter@3a69c81e, org.springframework.security.web.access.ExceptionTranslationFilter@4fbebd8e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@474a63d9]
date:2022-08-02 17:18:21	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:Started CtfAdminApplication in 16.685 seconds (JVM running for 21.243)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:==>  Preparing: SELECT role_code AS "roleCode" FROM mscode_sys_role
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:==> Parameters: 
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:<==      Total: 6
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_ADMIN(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_AGENT(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_ANONYMOUS(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 8
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_DEV(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_MANAGER(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_TEST(String)
date:2022-08-02 17:18:22	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-02 17:18:24	thread:RMI TCP Connection(9)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
