date:2022-08-04 11:03:17	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:The following profiles are active: native
date:2022-08-04 11:03:26	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6311640d, org.springframework.security.web.context.SecurityContextPersistenceFilter@674cd2da, org.springframework.security.web.header.HeaderWriterFilter@36deacfc, org.springframework.security.web.authentication.logout.LogoutFilter@279b83ea, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@58581ab6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@17734113, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34989ceb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a42610, org.springframework.security.web.session.SessionManagementFilter@3c634a04, org.springframework.security.web.access.ExceptionTranslationFilter@69cb296c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@79a15001]
date:2022-08-04 11:03:28	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:Started CtfAdminApplication in 12.796 seconds (JVM running for 13.913)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:==>  Preparing: SELECT role_code AS "roleCode" FROM mscode_sys_role
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:==> Parameters: 
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:c.c.admin.mapper.SysRoleMapper.queryRoleCodeList	msg:<==      Total: 6
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_ADMIN(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_AGENT(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_ANONYMOUS(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 8
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_DEV(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_MANAGER(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==>  Preparing: SELECT msu.url AS "url" FROM mscode_sys_role_url mur RIGHT JOIN mscode_sys_url msu ON mur.url_id = msu.id RIGHT JOIN mscode_sys_role msr ON mur.role_id = msr.id WHERE msr.role_code = ?
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:==> Parameters: ROLE_TEST(String)
date:2022-08-04 11:03:29	thread:main	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.queryRoleUrl  	msg:<==      Total: 157
date:2022-08-04 11:03:29	thread:RMI TCP Connection(8)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-08-04 11:03:29	thread:RMI TCP Connection(8)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-04 11:03:29	thread:RMI TCP Connection(8)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-04 11:03:29	thread:RMI TCP Connection(8)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 182 ms
date:2022-08-04 11:18:47	thread:Thread-24	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Start destroying Publisher
date:2022-08-04 11:18:47	thread:Thread-3	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Start destroying common HttpClient
date:2022-08-04 11:18:47	thread:Thread-24	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Destruction of the end
date:2022-08-04 11:18:47	thread:Thread-3	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Destruction of the end
date:2022-08-04 11:18:54	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Start destroying NacosRestTemplate
date:2022-08-04 11:18:54	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Destruction of the end
date:2022-08-04 11:18:55	thread:SpringContextShutdownHook	level:WARN 	logger:o.s.beans.factory.support.DisposableBeanAdapter 	msg:Destroy method 'close' on bean with name 'nacosServiceRegistry' threw an exception: java.lang.NullPointerException
