date:2022-08-02 17:17:27	thread:main	level:INFO 	logger:com.ctf.auth.CtfAuthApplication                 	msg:The following profiles are active: native
date:2022-08-02 17:17:35	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@598ff2b3, org.springframework.security.web.context.SecurityContextPersistenceFilter@4f571c0e, org.springframework.security.web.header.HeaderWriterFilter@6b64921f, org.springframework.security.web.authentication.logout.LogoutFilter@71c69628, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@46aea9f7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c7cbc2d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@16279a5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1002f859, org.springframework.security.web.session.SessionManagementFilter@535b4dbf, org.springframework.security.web.access.ExceptionTranslationFilter@47cf922d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3ec52163]
date:2022-08-02 17:17:35	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@445c693, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9d2c0ed, org.springframework.security.web.context.SecurityContextPersistenceFilter@52a605c3, org.springframework.security.web.header.HeaderWriterFilter@560c3758, org.springframework.security.web.authentication.logout.LogoutFilter@f451970, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@c7b100b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@13fad0c7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@24fb8317, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@272485a6, org.springframework.security.web.session.SessionManagementFilter@43414b88, org.springframework.security.web.access.ExceptionTranslationFilter@f09c282, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@20fdaf3e]
date:2022-08-02 17:17:35	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@272f5373, org.springframework.security.web.context.SecurityContextPersistenceFilter@e98adb2, org.springframework.security.web.header.HeaderWriterFilter@79a92277, org.springframework.security.web.authentication.logout.LogoutFilter@36017835, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c3d0ff8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1cb73a92, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@799557c8, org.springframework.security.web.session.SessionManagementFilter@7712df76, org.springframework.security.web.access.ExceptionTranslationFilter@10664c3d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6afb240d]
date:2022-08-02 17:17:35	thread:main	level:INFO 	logger:com.ctf.auth.CtfAuthApplication                 	msg:Started CtfAuthApplication in 9.825 seconds (JVM running for 11.806)
date:2022-08-02 17:17:36	thread:RMI TCP Connection(2)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-08-02 17:17:36	thread:RMI TCP Connection(2)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-02 17:17:36	thread:RMI TCP Connection(2)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-02 17:17:36	thread:RMI TCP Connection(2)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 55 ms
date:2022-08-02 17:19:38	thread:http-nio-10004-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/uaa/oauth/token?tenantCode=10001&username=admin&password=666888&scope=ui&grant_type=password&client_id=browser&type=account", parameters={masked}
date:2022-08-02 17:19:39	thread:http-nio-10004-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.auth.service.impl.AuthServiceImpl.loadUserByUsername]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
