date:2022-08-04 11:03:07	thread:main	level:INFO 	logger:com.ctf.auth.CtfAuthApplication                 	msg:The following profiles are active: native
date:2022-08-04 11:03:12	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4f5df012, org.springframework.security.web.context.SecurityContextPersistenceFilter@49e92724, org.springframework.security.web.header.HeaderWriterFilter@206e5183, org.springframework.security.web.authentication.logout.LogoutFilter@54cce500, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@748fa354, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2ba4b32b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6ce8bf64, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@38f3dbbf, org.springframework.security.web.session.SessionManagementFilter@623ed5ed, org.springframework.security.web.access.ExceptionTranslationFilter@7ca7bddd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@64e247e]
date:2022-08-04 11:03:12	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@442151d1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@aca2a0b, org.springframework.security.web.context.SecurityContextPersistenceFilter@7da9b32c, org.springframework.security.web.header.HeaderWriterFilter@1735e1c4, org.springframework.security.web.authentication.logout.LogoutFilter@6cd65042, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@a7fd77f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e5c8c80, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@46df794e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@79080255, org.springframework.security.web.session.SessionManagementFilter@1ec09a68, org.springframework.security.web.access.ExceptionTranslationFilter@2003edf, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7945986a]
date:2022-08-04 11:03:12	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@85eba52, org.springframework.security.web.context.SecurityContextPersistenceFilter@b4c89b6, org.springframework.security.web.header.HeaderWriterFilter@61d9dd15, org.springframework.security.web.authentication.logout.LogoutFilter@6a906078, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54f62ac6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7be86438, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a34f8e2, org.springframework.security.web.session.SessionManagementFilter@4936fbc6, org.springframework.security.web.access.ExceptionTranslationFilter@225fb75e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@291522f1]
date:2022-08-04 11:03:13	thread:main	level:INFO 	logger:com.ctf.auth.CtfAuthApplication                 	msg:Started CtfAuthApplication in 7.867 seconds (JVM running for 9.045)
date:2022-08-04 11:03:14	thread:RMI TCP Connection(4)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-08-04 11:03:14	thread:RMI TCP Connection(4)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-08-04 11:03:14	thread:RMI TCP Connection(4)-192.168.2.43	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-08-04 11:03:14	thread:RMI TCP Connection(4)-192.168.2.43	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 54 ms
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:POST "/uaa/oauth/token?tenantCode=10001&username=admin&password=666888&scope=ui&grant_type=password&client_id=browser&type=account", parameters={masked}
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.auth.service.impl.AuthServiceImpl.loadUserByUsername]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112549
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112591
date:2022-08-04 11:05:07	thread:http-nio-10004-exec-2	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 112624
