date:2022-07-27 16:54:00	thread:main	level:INFO 	logger:com.ctf.generator.CtfGeneratorApplication       	msg:The following profiles are active: native
date:2022-07-27 16:54:13	thread:main	level:INFO 	logger:o.s.security.web.DefaultSecurityFilterChain     	msg:Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@612e1c6e, org.springframework.security.web.context.SecurityContextPersistenceFilter@2182ebc7, org.springframework.security.web.header.HeaderWriterFilter@7b0a864e, org.springframework.security.web.authentication.logout.LogoutFilter@74691a1f, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@7902b006, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1181a376, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@409a164d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1cf45f46, org.springframework.security.web.session.SessionManagementFilter@4df5b562, org.springframework.security.web.access.ExceptionTranslationFilter@47e6004c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@455082d2]
date:2022-07-27 16:54:15	thread:main	level:INFO 	logger:com.ctf.generator.CtfGeneratorApplication       	msg:Started CtfGeneratorApplication in 16.827 seconds (JVM running for 18.359)
date:2022-07-27 16:54:16	thread:RMI TCP Connection(17)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Initializing Servlet 'dispatcherServlet'
date:2022-07-27 16:54:16	thread:RMI TCP Connection(17)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Detected StandardServletMultipartResolver
date:2022-07-27 16:54:16	thread:RMI TCP Connection(17)-192.168.2.45	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
date:2022-07-27 16:54:16	thread:RMI TCP Connection(17)-192.168.2.45	level:INFO 	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed initialization in 177 ms
date:2022-07-27 17:46:42	thread:Thread-24	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Start destroying Publisher
date:2022-07-27 17:46:42	thread:Thread-3	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Start destroying common HttpClient
date:2022-07-27 17:46:42	thread:Thread-24	level:WARN 	logger:com.alibaba.nacos.common.notify.NotifyCenter    	msg:[NotifyCenter] Destruction of the end
date:2022-07-27 17:46:42	thread:Thread-3	level:WARN 	logger:c.alibaba.nacos.common.http.HttpClientBeanHolder	msg:[HttpClientBeanHolder] Destruction of the end
date:2022-07-27 17:46:48	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Start destroying NacosRestTemplate
date:2022-07-27 17:46:48	thread:SpringContextShutdownHook	level:WARN 	logger:com.alibaba.nacos.client.naming                 	msg:[NamingHttpClientManager] Destruction of the end
date:2022-07-27 17:46:48	thread:SpringContextShutdownHook	level:WARN 	logger:o.s.beans.factory.support.DisposableBeanAdapter 	msg:Destroy method 'close' on bean with name 'nacosServiceRegistry' threw an exception: java.lang.NullPointerException
